06055330	1J	六書統	（元）楊桓	四庫全書,經部,小學類,元	06055330,06055331,06055332,06055333,06055334,06055335,06055336,06055337,06055338,06055339,06055340,06055341,06055342,06055343,06055344,06055345
06069354	4E	絕妙好詞箋	（宋）周密,（清）查為仁,（清）厲鶚	四庫全書,集部,詞曲類,宋,清	06069354,06069355,06069356
06064272	1A	厚齊易學	（宋）馮椅	四庫全書,經部,易類,宋	06064272,06064273,06064274,06064275,06064276,06064277,06064278,06064279,06064280,06064281,06064282,06064283,06064284,06064285,06064286,06064287,06064288,06064289,06064290,06064291,06064292
06068778	1A	周易註	（魏）王弼,（晉）韓康伯	四庫全書,經部,易類,魏,晋	06068778,06068779
06048085	4B	陳檢討四六	（清）陳維崧	四庫全書,集部,別集類,清	06048085,06048086,06048087,06048088,06048089,06048090,06048091,06048092
06068001	1A	周易章句證異	（清）翟均廉	四庫全書,經部,易類,清	06068001,06068002,06068003,06068004,06068005
06072892	1B	尚書詳解	（宋）胡士行	四庫全書薈要,经部,書類,宋	06072892,06072893,06072894,06072895
06052318	4C	中州集	（金）元好問	四庫全書,集部,總集類,金	06052318,06052319,06052320,06052321,06052322,06052323,06052324,06052325,06052326,06052327
06072896	1B	尚書句解	（元）朱祖義	四庫全書薈要,经部,書類,宋	06072896,06072897
06068559	2C	通監紀事本末	（宋）袁樞	四庫全書,史部,紀事本末類,宋	06068559,06068560,06068561,06068562,06068563,06068564,06068565,06068566,06068567,06068568,06068569,06068570,06068571,06068572,06068573,06068574,06068575,06068576,06068577,06068612,06068613,06068614,06068615,06068616,06068617,06068618,06068619,06068620,06068621,06068622,06068795,06068796,06068797,06068798,06068799,06068800,06068801,06068802,06068803,06068804,06068805,06068806,06068807,06068808,06068809,06068810,06068811,06068812,06068813,06068814,06068815,06068816,06068817,06068818,06068819,06068820,06068821,06068822,06068823,06068824,06068825,06068826,06068827,06068828,06068829,06068830,06068831,06068832,06068833,06068834,06068835,06068836,06068837,06068838,06068839,06068840
06068556	2C	蜀鑑	（宋）郭允蹈	四庫全書,史部,紀事本末類,宋	06068556,06068557
06068009	1B	禹貢長箋	（清）朱鶴齡	四庫全書,經部,書類,清	06068009,06068010,06068011,06068012,06068013,06068014
06043489	1D	儀禮析疑	（清）方苞	四庫全書,經部,禮類,清	06043489,06043490,06043491,06043492,06043493,06043494,06043495,06043496
06052644	1D	禮書	（宋）陳祥道	四庫全書,經部,禮類,宋	06052644,06052645,06052646,06052647,06052648,06052649,06052650,06052651,06052652,06052653,06052654,06052655,06052656,06052657,06052658,06052659,06052660,06052661,06052662,06052663,06052664,06052665,06052666
06055446	2B	續宋編年資治通鑑	（宋）劉時舉	四庫全書,史部,編年類,宋	06055446,06055447,06055448,06055449,06055450
06043717	1G	古微書	（明）孫瑴	四庫全書,經部,五經總義類,明	06043717,06043718,06043719,06043720,06043721,06043722,06043723,06043724
06075152	1A	東坡易傳	（宋）蘇軾	四庫全書薈要,经部,易類,宋	06075152,06075153,06075154,06075155
06077661	XX	文憲集	（明）宋濂	四庫全書薈要,集部,别集類,明	06077661,06077662,06077663,06077664,06077665,06077666,06077667,06077668,06077669,06077670,06077781,06077782,06077783,06077784,06077785,06077786,06077787,06077788,06077789,06077790,06077791,06077792,06077793,06077794,06077795,06077796,06077797,06077798,06077799,06077800,06081462,06081463,06081464,06081465,06081466,06081467,06081468,06081469,06081470,06081471,06081472,06081473,06081474,06081475,06081476,06081477,06081478,06081479,06081480,06081481,06081482,06081483,06081484,06081485,06081486,06081487,06081488,06081489,06081490,06081491,06081492
06078032	XX	國朝宮史	（清）乾隆	四庫全書薈要,史部,法制類,清	06078032,06078033,06078034,06078035,06078036,06078037,06078038,06078039,06078040,06078041,06078042,06078043,06078044,06078045,06078046,06078047,06078048
